lot_area,neighborhood,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,bsmt_unf_sf,heating,central_air,1st_flr_sf,2nd_flr_sf,total_sqr_ft,bedrooms,kitchen_qual,total_rooms,garage_type,car_garage,garage_area,wood_deck_sf,open_porch_sf,enclosed_porch,screen_porch,mo_sold,yr_sold,total_bathrooms,remodeled_y/n,total_bsmtfin_sf,finbsmt/gr_liv_area,avg_cs_index_value
10400,NWAmes,1Fam,Single Story,7,5,1976,1976,1090,GasA,Y,1370,0,1370,3,TA,6,Attchd,2,479,0,0,0,0,6,2009,2,N,0,1370,148.55
28698,ClearCr,1Fam,Two Story,5,5,1967,1967,0,GasA,Y,1160,966,2126,3,TA,7,Attchd,2,538,486,0,0,225,6,2009,4,N,1013,3139,148.55
9842,NAmes,Duplex,Single Story,4,5,1962,1962,0,GasA,Y,1224,0,1224,2,TA,6,CarPort,2,462,0,0,0,0,3,2007,2,N,0,1224,179.94
7200,NAmes,Duplex,Single Story,4,5,1949,1950,0,Wall,N,1040,0,1040,2,TA,6,Detchd,2,420,0,0,0,0,6,2009,2,Y,0,1040,148.55
7627,OldTown,2fmCon,Two Story,4,6,1920,1950,600,GasA,N,1101,600,1701,4,Fa,8,0,0,0,0,0,148,0,10,2009,2,Y,0,1701,148.55
10029,ClearCr,1Fam,Two Story,6,5,1988,1989,320,GasA,Y,1164,896,2060,4,TA,8,Attchd,2,521,0,228,0,192,9,2007,4,Y,831,2891,179.94
9660,NoRidge,1Fam,Two Story,8,5,1998,1998,253,GasA,Y,1079,897,1976,3,Gd,7,Attchd,3,885,210,31,0,0,2,2006,4,N,791,2767,183.48
11310,NAmes,1Fam,Single Story,6,5,1954,1954,1367,GasA,Y,1375,0,1375,2,TA,5,Attchd,2,451,0,30,0,0,6,2006,1,N,0,1375,183.48
18450,NAmes,1Fam,Two Story,6,5,1965,1979,111,GasA,Y,1465,915,2380,3,TA,7,CarPort,2,596,0,265,0,0,8,2007,3,Y,910,3290,179.94
10200,CollgCr,1Fam,Single Story,8,5,2007,2007,100,GasA,Y,1602,0,1602,3,Gd,7,Attchd,3,810,0,48,0,195,1,2009,3,N,1478,3080,148.55
